id, showId, rank, name, showName, seasonName
81519224, 81519223, 1, The Glory: Season 1, The Glory, Season 1
81229164, 70205672, 2, La Reina del Sur: Season 3, La Reina del Sur, Season 3
81654990, 81422314, 3, Mr. Queen, Mr. Queen, Mr. Queen
80226859, 80211991, 4, You: Season 4, You, Season 4
81649878, 81649877, 5, Crash Course in Romance: Season 1, Crash Course in Romance, Season 1
81609359, 81609358, 6, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
70127182, 70213130, 7, Boys Over Flowers: Volume 1, Boys Over Flowers, Volume 1
80035484, 80035684, 8, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
81396407, 81396406, 9, Café con aroma de mujer: Season 1, Café con aroma de mujer, Season 1
80047470, 80047032, 10, Pasión de Gavilanes: Season 1, Pasión de Gavilanes, Season 1
