id, showId, rank, name, showName, seasonName
81128719, 81120861, 1, The Snitch Cartel: Origins: Season 1, The Snitch Cartel: Origins, Season 1
81519224, 81519223, 2, The Glory: Season 1, The Glory, Season 1
81354973, 81354972, 3, Eva Lasting: Season 1, Eva Lasting, Season 1
80035484, 80035684, 4, Pablo Escobar, el patrón del mal: Season 1, Pablo Escobar, el patrón del mal, Season 1
80226859, 80211991, 5, You: Season 4, You, Season 4
81209173, 80236319, 6, Shadow and Bone: Season 2, Shadow and Bone, Season 2
81609359, 81609358, 7, Til Money Do Us Part: Season 1, Til Money Do Us Part, Season 1
81229164, 70205672, 8, La Reina del Sur: Season 3, La Reina del Sur, Season 3
81212197, 81307163, 9, MH370: The Plane That Disappeared: Limited Series, MH370: The Plane That Disappeared, Limited Series
81198209, 81167570, 10, El final del paraíso: Season 1, El final del paraíso, Season 1
